step	cost_avg	cost_best	solution_best
106   	    294.446   	    294.446	{ map[4776] = Complex(1511.813021, -1922.462396);  }
107   	    294.446   	    294.446	{ map[4776] = Complex(1511.813021, -1922.462396);  }
108   	    294.446   	    294.446	{ map[4776] = Complex(1511.813021, -1922.462396);  }
109   	    294.446   	    294.446	{ map[4776] = Complex(1511.812305, -1922.462890);  }
110   	    294.446   	    294.446	{ map[4776] = Complex(1511.812305, -1922.462890);  }
111   	    294.446   	    294.446	{ map[4776] = Complex(1511.812268, -1922.462918);  }
0   	    161.876   	    328.726	{ map[4776] = Complex(1511.812268, -1922.462918); map[41609] = Complex(-2575.691721, -3156.189388);  }
1   	     175.17   	    333.025	{ map[4776] = Complex(1511.812268, -1922.462918); map[40994] = Complex(-1290.218248, -1056.216555);  }
2   	    189.205   	    334.141	{ map[4776] = Complex(1511.812268, -1922.462918); map[41448] = Complex(-2448.246850, -2739.455384);  }
3   	     211.35   	    341.113	{ map[4776] = Complex(1511.812268, -1922.462918); map[40950] = Complex(-1291.249209, -1122.740136);  }
4   	    229.042   	    341.113	{ map[4776] = Complex(1511.812268, -1922.462918); map[40950] = Complex(-1291.249209, -1122.740136);  }
5   	    242.883   	    341.834	{ map[4776] = Complex(1511.812268, -1922.462918); map[40940] = Complex(-1347.062241, -1132.336894);  }
6   	    256.298   	     345.12	{ map[4776] = Complex(1511.812268, -1922.462918); map[41439] = Complex(-1337.508122, -638.585181);  }
7   	    268.158   	    350.947	{ map[4776] = Complex(1511.812268, -1922.462918); map[41336] = Complex(-1360.236279, -710.963010);  }
8   	    280.936   	    350.947	{ map[4776] = Complex(1511.812268, -1922.462918); map[41336] = Complex(-1360.236279, -710.963010);  }
9   	    294.546   	    350.947	{ map[4776] = Complex(1511.812268, -1922.462918); map[41336] = Complex(-1360.236279, -710.963010);  }
10   	    303.304   	    350.947	{ map[4776] = Complex(1511.812268, -1922.462918); map[41336] = Complex(-1360.236279, -710.963010);  }
11   	     309.07   	    352.844	{ map[4776] = Complex(1511.812268, -1922.462918); map[41418] = Complex(-1356.299624, -646.503195);  }
12   	    315.796   	    352.844	{ map[4776] = Complex(1511.812268, -1922.462918); map[41418] = Complex(-1356.299624, -646.503195);  }
13   	    320.974   	    352.844	{ map[4776] = Complex(1511.812268, -1922.462918); map[41418] = Complex(-1356.299624, -646.503195);  }
14   	    323.869   	    352.844	{ map[4776] = Complex(1511.812268, -1922.462918); map[41418] = Complex(-1356.299624, -646.503195);  }
15   	    327.346   	      352.9	{ map[4776] = Complex(1511.812268, -1922.462918); map[41423] = Complex(-1362.167064, -642.084351);  }
16   	    330.507   	    353.424	{ map[4776] = Complex(1511.812268, -1922.462918); map[41418] = Complex(-1357.539434, -645.223556);  }
17   	    332.304   	    353.968	{ map[4776] = Complex(1511.812268, -1922.462918); map[41419] = Complex(-1358.400565, -644.923554);  }
18   	    335.289   	    354.129	{ map[4776] = Complex(1511.812268, -1922.462918); map[41419] = Complex(-1357.801189, -644.916410);  }
19   	    337.722   	     354.33	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1359.664989, -647.500264);  }
20   	    340.436   	    368.577	{ map[4776] = Complex(1511.812268, -1922.462918); map[41419] = Complex(-1358.630295, -644.701705);  }
21   	    342.461   	    368.577	{ map[4776] = Complex(1511.812268, -1922.462918); map[41419] = Complex(-1358.630295, -644.701705);  }
22   	    344.217   	    368.577	{ map[4776] = Complex(1511.812268, -1922.462918); map[41419] = Complex(-1358.630295, -644.701705);  }
23   	    346.105   	    368.577	{ map[4776] = Complex(1511.812268, -1922.462918); map[41419] = Complex(-1358.630295, -644.701705);  }
24   	    346.951   	    368.577	{ map[4776] = Complex(1511.812268, -1922.462918); map[41419] = Complex(-1358.630295, -644.701705);  }
25   	    348.226   	    368.641	{ map[4776] = Complex(1511.812268, -1922.462918); map[41419] = Complex(-1359.229708, -644.595144);  }
26   	    349.138   	    368.755	{ map[4776] = Complex(1511.812268, -1922.462918); map[41419] = Complex(-1360.299111, -644.403426);  }
27   	    350.382   	    368.755	{ map[4776] = Complex(1511.812268, -1922.462918); map[41419] = Complex(-1360.299111, -644.403426);  }
28   	    351.314   	    368.779	{ map[4776] = Complex(1511.812268, -1922.462918); map[41418] = Complex(-1360.744559, -645.068742);  }
29   	    352.092   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
30   	    352.827   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
31   	    353.447   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
32   	    354.897   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
33   	     356.91   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
34   	     359.14   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
35   	    361.456   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
36   	    363.272   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
37   	    364.479   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
38   	    365.721   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
39   	    366.428   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
40   	     366.75   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
41   	     366.97   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
42   	    367.175   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
43   	     367.23   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
44   	    367.369   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
45   	    367.519   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
46   	     367.58   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
47   	     367.67   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.990286, -647.105598);  }
48   	    367.894   	    368.841	{ map[4776] = Complex(1511.812268, -1922.462918); map[41415] = Complex(-1361.994795, -647.102586);  }
49   	    368.158   	    368.842	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.770406, -646.383239);  }
50   	    368.257   	    368.842	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.770406, -646.383239);  }
51   	     368.37   	    368.842	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.770406, -646.383239);  }
52   	    368.484   	    368.856	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.905720, -646.360721);  }
53   	    368.512   	    368.856	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.905720, -646.360721);  }
54   	    368.533   	    368.856	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.905720, -646.360721);  }
55   	    368.574   	    368.856	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.905720, -646.360721);  }
56   	    368.617   	    368.856	{ map[4776] = Complex(1511.812268, -1922.462918); map[41416] = Complex(-1361.905720, -646.360721);  }
